一个人	👤️
一撮仔	🤌🏻
一等	🏆️,🥇
一陣人	👥️
一點仔囝	🤌🏻
丁抹國	🇩🇰
三輪車仔	🛺
上海毛蟹	🦀️
下早仔	🌄️
中國	🇨🇳
乘合仔	🚌️
乘波	🏄🏻
亂使講	🤥
予焦啦	🥂
五爪仔	🧤
亞熱眉正	🇦🇿
亡人節	🎃️
人民票	💴️
仙人草	🌵️
仙巴掌	🌵️
仝性戀	🏳️‍🌈
佛國	🇫🇷
佛蘭西	⚜️,🇫🇷
作穡	🧑🏻‍🌾
佮意你	😍️,😻️
佳薩克	🇰🇿
便所	🚻️
俄國	🇷🇺
俄羅	🇷🇺
俗麭	🍞️
信用片	💳️
倒退攄	⏪️,◀️
做工仔人	👷🏻,🧑🏻‍🏭
偷微	🫣
優克蘭	🇺🇦
儼硬	🥲
兄弟姊妹	👫🏻️
先輩	👨🏻‍🎓
光明	🌞️
光閃閃	✨️
入眠	😴️,🛌🏻️
八卦紅	🌵️
八跤魚	🐙️
公車	🚌️
六角傘	🪂
冊楔仔	📑️,🔖️
冊龜仔	🤓️
冒險	⚠️,🚨️
冰克林姆	🍨️
冰地	🇮🇸
凍霜	🙁️
划棑仔	🚣🏻
列宙峇	🇱🇹
列島	🗾️
利便商店	🏪️
利便店	🏪️
刺毛仔蟲	🐛️
刺毛捋	🐛️
刺毛狗蟲	🐛️
刺毛蟲仔	🐛️
刺波	🍓️
刺球	🌵️,🦔
刺球豬	🦔
刺疫	😣️,😩️,🥴
刺羅仔蟲	🐛️
刺羅蟲	🐛️
刺虯	🦔
剃頭	💇🏻
削奅	😎️
剪頭	💇🏻
剪頭鬃	💇🏻
割麭	🍔️
加薦仔	🛍️
勃牙利	🇧🇬
勾起來	✅️
匯水	💱️
十字路頭	🚥️,🚦️
占買加	🇯🇲
占買甲	🇯🇲
占買角	🇯🇲
卵	🥚
去便所	🚾️
反腹	🤢,🤮
叫電話	🤙🏻
同性愛	🏳️‍🌈
吸石仔	🧲
